
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    172.16.61.108:49518    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49520    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49522    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49525    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49527    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49528    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49534    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49537    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49538    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49540    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49541    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49542    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49543    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49544    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49545    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49549    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49552    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49554    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49556    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49557    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49558    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49559    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49560    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49561    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49563    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49564    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49565    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49566    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49569    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49570    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49575    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49576    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49578    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49580    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49585    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49586    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49588    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49589    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49590    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49593    KBOX:https             CLOSE_WAIT      3212
  TCP    172.16.61.108:49596    KBOX:https             CLOSE_WAIT      3212
